symbol,status,folds,parquet,years
AUD_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/AUD_USD/wfo_metrics.parquet,
AUD_NZD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/AUD_NZD/wfo_metrics.parquet,
AUD_JPY,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/AUD_JPY/wfo_metrics.parquet,
ADAUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/ADAUSD/wfo_metrics.parquet,
CAD_CHF,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/CAD_CHF/wfo_metrics.parquet,
CAD_JPY,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/CAD_JPY/wfo_metrics.parquet,
COTTON.c,not_enough_years,,,2
BTCUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/BTCUSD/wfo_metrics.parquet,
BCHUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/BCHUSD/wfo_metrics.parquet,
CHF_JPY,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/CHF_JPY/wfo_metrics.parquet,
DXY.cash,not_enough_years,,,2
DASHUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/DASHUSD/wfo_metrics.parquet,
DOTUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/DOTUSD/wfo_metrics.parquet,
DOGEUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/DOGEUSD/wfo_metrics.parquet,
EUR_AUD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/EUR_AUD/wfo_metrics.parquet,
ETHUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/ETHUSD/wfo_metrics.parquet,
EUR_CAD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/EUR_CAD/wfo_metrics.parquet,
EUR_CHF,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/EUR_CHF/wfo_metrics.parquet,
EUR_CZK,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/EUR_CZK/wfo_metrics.parquet,
EUR_GBP,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/EUR_GBP/wfo_metrics.parquet,
EUR_HUF,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/EUR_HUF/wfo_metrics.parquet,
EUR_NOK,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/EUR_NOK/wfo_metrics.parquet,
EUR_PLN,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/EUR_PLN/wfo_metrics.parquet,
EUR_NZD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/EUR_NZD/wfo_metrics.parquet,
EUR_JPY,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/EUR_JPY/wfo_metrics.parquet,
FRA40.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/FRA40.cash/wfo_metrics.parquet,
EUR_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/EUR_USD/wfo_metrics.parquet,
GBP_AUD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/GBP_AUD/wfo_metrics.parquet,
GBP_CAD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/GBP_CAD/wfo_metrics.parquet,
GBP_CHF,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/GBP_CHF/wfo_metrics.parquet,
GBP_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/GBP_USD/wfo_metrics.parquet,
GBP_NZD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/GBP_NZD/wfo_metrics.parquet,
HEATOIL.c,not_enough_years,,,2
GBP_JPY,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/GBP_JPY/wfo_metrics.parquet,
GER40.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/GER40.cash/wfo_metrics.parquet,
IBE,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/IBE/wfo_metrics.parquet,
GOOG,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/GOOG/wfo_metrics.parquet,
JP225.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/JP225.cash/wfo_metrics.parquet,
HK50.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/HK50.cash/wfo_metrics.parquet,
LVMH,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/LVMH/wfo_metrics.parquet,
META,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/META/wfo_metrics.parquet,
MSFT,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/MSFT/wfo_metrics.parquet,
LTCUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/LTCUSD/wfo_metrics.parquet,
NATGAS.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/NATGAS.cash/wfo_metrics.parquet,
N25.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/N25.cash/wfo_metrics.parquet,
NFLX,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/NFLX/wfo_metrics.parquet,
NEOUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/NEOUSD/wfo_metrics.parquet,
NVDA,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/NVDA/wfo_metrics.parquet,
NZD_CHF,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/NZD_CHF/wfo_metrics.parquet,
NZD_CAD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/NZD_CAD/wfo_metrics.parquet,
NZD_JPY,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/NZD_JPY/wfo_metrics.parquet,
NZD_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/NZD_USD/wfo_metrics.parquet,
RACE,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/RACE/wfo_metrics.parquet,
SUGAR.c,not_enough_years,,,2
PFE,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/PFE/wfo_metrics.parquet,
SOYBEAN.c,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/SOYBEAN.c/wfo_metrics.parquet,
T,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/T/wfo_metrics.parquet,
SPN35.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/SPN35.cash/wfo_metrics.parquet,
TSLA,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/TSLA/wfo_metrics.parquet,
UK100.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/UK100.cash/wfo_metrics.parquet,
UKOIL.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/UKOIL.cash/wfo_metrics.parquet,
US2000.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/US2000.cash/wfo_metrics.parquet,
US100.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/US100.cash/wfo_metrics.parquet,
US500.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/US500.cash/wfo_metrics.parquet,
US30.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/US30.cash/wfo_metrics.parquet,
USD_CNH,not_enough_years,,,2
USD_CAD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_CAD/wfo_metrics.parquet,
USD_CHF,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_CHF/wfo_metrics.parquet,
USD_HKD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_HKD/wfo_metrics.parquet,
USD_CZK,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_CZK/wfo_metrics.parquet,
USD_ILS,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_ILS/wfo_metrics.parquet,
USD_HUF,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_HUF/wfo_metrics.parquet,
USD_MXN,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_MXN/wfo_metrics.parquet,
USD_JPY,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_JPY/wfo_metrics.parquet,
USD_SGD,not_enough_years,,,2
USD_NOK,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_NOK/wfo_metrics.parquet,
USD_PLN,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_PLN/wfo_metrics.parquet,
USD_SEK,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_SEK/wfo_metrics.parquet,
V,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/V/wfo_metrics.parquet,
USD_ZAR,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_ZAR/wfo_metrics.parquet,
USOIL.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USOIL.cash/wfo_metrics.parquet,
VOWG_p,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/VOWG_p/wfo_metrics.parquet,
WHEAT.c,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/WHEAT.c/wfo_metrics.parquet,
WMT,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/WMT/wfo_metrics.parquet,
XAG_AUD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XAG_AUD/wfo_metrics.parquet,
XAG_EUR,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XAG_EUR/wfo_metrics.parquet,
XAG_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XAG_USD/wfo_metrics.parquet,
XCU_USD,not_enough_years,,,2
XAU_AUD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XAU_AUD/wfo_metrics.parquet,
XPD_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XPD_USD/wfo_metrics.parquet,
XAU_EUR,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XAU_EUR/wfo_metrics.parquet,
XAU_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XAU_USD/wfo_metrics.parquet,
XMRUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XMRUSD/wfo_metrics.parquet,
ZM,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/ZM/wfo_metrics.parquet,
XPT_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XPT_USD/wfo_metrics.parquet,
XRPUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/XRPUSD/wfo_metrics.parquet,
