symbol,status,gpu,timeframe,best_ev,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel
AAPL,ok,0,H4,0.006515780764251651,80,541,cuda,equity,0.006515780764251651,0.4,4.245710867090478,2.5,1605,5,0.0024086533597593427,0.8968446898233765,0.4827694900105323,0.00022053424507672032,0.30490150037326746,1.1793963718651834,0.04557878318278264,0.9572110780170151
AAVUSD,ok,0,H4,0.008599228837509491,80,835,cuda,crypto,0.008599228837509491,6.5,0.6320113762041969,8.0,1575,6,0.5393473732727926,0.6349130410101587,0.503726695819712,0.0019759670840033094,0.0013415649165239958,1.1441880158745599,0.017960397618922333,0.7370120918011015
ADAUSD,killed_negative_ev,0,H4,-0.0018212584686751842,40,2151,cuda,crypto,-0.0018212584686751842,6.5,39.25104757863509,8.0,,,,,,,,,,
AIRF,killed_negative_ev,0,H4,-0.001602649668861176,40,825,cuda,equity,-0.001602649668861176,0.4,50.82592121982216,2.5,,,,,,,,,,
ALGUSD,ok,0,H4,0.00035684526629927116,80,821,cuda,crypto,0.00035684526629927116,6.5,15.548069448043261,8.0,1264,4,4.160400031130832,0.43801366336077163,0.8751269754922316,0.009461160290769524,0.09341144868137642,2.0197601363905653,0.006266698853881013,0.41230947520103833
ALVG,ok,0,H4,0.0009993787880882312,80,842,cuda,equity,0.0009993787880882312,0.4,4.975981320931483,2.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461
AMZN,ok,0,H4,0.009202467428319561,80,530,cuda,equity,0.009202467428319561,0.4,4.884872438218071,2.5,884,2,0.025080918522820628,0.820164471783429,0.6127350522630283,0.00630298000081899,0.045980957701499466,0.3091682285945405,0.08744612704062624,0.7567199139223525
AUDNZD,killed_negative_ev,0,H4,-0.001149823290628706,40,1632,cuda,forex,-0.001149823290628706,3.0,1.0823486966708575,5.0,,,,,,,,,,
AUD_CAD,killed_negative_ev,0,H4,-0.0000856178002504086,40,1581,cuda,forex,-0.0000856178002504086,0.5,1.2668067831751302,1.5,,,,,,,,,,
AUD_CHF,ok,0,H4,1.9537886959062e-6,80,1582,cuda,forex,1.9537886959062e-6,0.5,1.600697192555593,1.5,1446,4,1.3751068413926437,0.7693963178886665,0.48581025224334007,0.00009614487780312032,0.00002449629343316355,14.553179565665339,0.1734451662584154,0.7207805082202461
AUD_JPY,ok,0,H4,0.00039664046076399914,80,1631,cuda,forex,0.00039664046076399914,0.5,1.235152438396819,1.5,1446,4,1.3751068413926437,0.7693963178886665,0.48581025224334007,0.00009614487780312032,0.00002449629343316355,14.553179565665339,0.1734451662584154,0.7207805082202461
AUD_NZD,killed_negative_ev,0,H4,-0.00019982329062870593,40,1632,cuda,forex,-0.00019982329062870593,0.5,1.0823486966708575,1.5,,,,,,,,,,
AUD_USD,ok,0,H4,0.00020197820117703004,80,1633,cuda,forex,0.00020197820117703004,0.5,0.640717603716803,1.5,1446,4,1.3751068413926437,0.7693963178886665,0.48581025224334007,0.00009614487780312032,0.00002449629343316355,14.553179565665339,0.1734451662584154,0.7207805082202461
AUS200.cash,ok,0,H4,0.0005291470630250285,80,1477,cuda,index,0.0005291470630250285,0.0,1.5653974905465313,1.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461
AVAUSD,ok,0,H4,0.00956107052089695,80,835,cuda,crypto,0.00956107052089695,6.5,9.892827699917936,8.0,1211,6,2.1561187032278877,0.5805767361209886,0.5347382756573821,0.0010350469575147396,0.0014544285778406918,1.2705756982554752,0.03473960753764963,0.9524757828418433
BABA,insufficient_rows,,,,,499,,equity,,,,,,,,,,,,,,
BAC,ok,0,H4,0.004331299308734435,80,536,cuda,equity,0.004331299308734435,0.4,18.96094046264722,2.5,460,4,0.014363863629624005,0.50554651441816,0.3227902598677838,0.00001676961120946485,0.00020116121253029544,0.30212964225113,0.05313003934566401,0.8135663021539594
BARUSD,ok,0,H4,0.007487968651262937,80,835,cuda,crypto,0.007487968651262937,6.5,4.890573419733265,8.0,427,6,0.33278587827032874,0.8486102433907217,0.5855417376428174,0.002309005772760486,0.6360514686192121,1.274065812606272,0.014832390214879856,0.38393586607966956
BAYGn,ok,0,H4,0.002277635206717741,80,778,cuda,equity,0.002277635206717741,0.4,14.886490509861982,2.5,933,6,0.0032030547767837305,0.9381756595706211,0.9440211616223717,0.5400750687329432,0.0007693147016783667,0.5015822077415814,0.005468855252427306,0.7875407536910419
BCHUSD,killed_negative_ev,0,H4,-0.00013031195430196797,40,2033,cuda,crypto,-0.00013031195430196797,6.5,17.049580601366117,8.0,,,,,,,,,,
BNBUSD,ok,0,H4,0.0015967926866029183,80,785,cuda,crypto,0.0015967926866029183,6.5,0.2932236025519174,8.0,778,6,0.6214422633114972,0.6349398686474892,0.7220505841084306,0.03811696778787756,0.0013424855587580269,1.432221161251604,0.03473960753764963,0.9173452748924691
BTCUSD,killed_negative_ev,0,H4,-0.00005129464668456472,40,2108,cuda,crypto,-0.00005129464668456472,6.5,0.36974192536747785,8.0,,,,,,,,,,
CADCHF,killed_negative_ev,0,H4,-0.0010661137469287828,40,1541,cuda,index,-0.0010661137469287828,3.0,1.9439809489868458,5.0,,,,,,,,,,
CAD_CHF,killed_negative_ev,0,H4,-0.00011611374692878266,40,1541,cuda,index,-0.00011611374692878266,0.5,1.9439809489868458,1.5,,,,,,,,,,
CAD_JPY,ok,0,H4,0.00006924291946989565,80,1603,cuda,forex,0.00006924291946989565,0.5,1.3967846018466021,1.5,1446,4,1.3751068413926437,0.7693963178886665,0.48581025224334007,0.00009614487780312032,0.00002449629343316355,14.553179565665339,0.1734451662584154,0.7207805082202461
CHF_JPY,killed_negative_ev,0,H4,-4.272188349677176e-6,40,1621,cuda,forex,-4.272188349677176e-6,0.5,1.129288696712014,1.5,,,,,,,,,,
COCOA.c,ok,0,H4,0.00272652595289959,80,1031,cuda,commodity,0.00272652595289959,0.0,19.182529142687837,4.0,945,7,1.1132795439424215,0.7011913972263845,0.8815128465774766,0.02039084742899088,0.007114474707324715,1.6577976645317853,0.05790145476172293,0.9745303054791941
COFFEE.c,ok,0,H4,0.002222602995958814,80,1049,cuda,commodity,0.002222602995958814,0.0,8.618367896579402,4.0,1446,4,3.6808608148776107,0.72926216630837,0.4014121162875837,0.0007744762285330786,0.0002142973316927139,24.720106712713147,0.1734451662584154,0.7207805082202461
CORN.c,killed_negative_ev,0,H4,-0.0017013873171234325,40,1565,cuda,commodity,-0.0017013873171234325,0.0,20.381673657222915,4.0,,,,,,,,,,
COTTON.c,insufficient_rows,,,,,524,,commodity,,,,,,,,,,,,,,
DASHUSD,ok,0,H4,0.004156489652755669,80,2174,cuda,crypto,0.004156489652755669,6.5,9.131030284581959,8.0,1972,3,0.05182620937469871,0.6384192968116627,0.505676123495474,0.0036065089687695993,0.01218762445550381,1.1214235407865805,0.011659068356730858,0.3058383744097547
DBKGn,ok,0,H4,0.002248611755437537,80,798,cuda,equity,0.002248611755437537,0.4,10.480349344978563,2.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461
DOGEUSD,killed_negative_ev,0,H4,-0.0002166094434732603,40,2110,cuda,crypto,-0.0002166094434732603,6.5,25.193029928387073,8.0,,,,,,,,,,
DOTUSD,killed_negative_ev,0,H4,-0.0016042170308495217,40,2207,cuda,crypto,-0.0016042170308495217,6.5,35.26093088857627,8.0,,,,,,,,,,
DXY.cash,killed_negative_ev,0,H4,-0.0005205973273127914,40,877,cuda,forex,-0.0005205973273127914,0.13999999999999999,2.7395453369373723,3.0,,,,,,,,,,
ETCUSD,ok,0,H4,0.008703552618234594,80,820,cuda,crypto,0.008703552618234594,6.5,3.954913980620486,8.0,1283,6,1.8689719024269207,0.718635023714308,0.5318753114429029,0.004900562371232845,0.22949884690730107,1.05950289871377,0.026518569068087732,0.6668991093291302
ETHUSD,killed_negative_ev,0,H4,-0.00007237981882979517,40,2084,cuda,crypto,-0.00007237981882979517,6.5,12.383220370031541,8.0,,,,,,,,,,
EU50.cash,ok,0,H4,0.0013907628823009346,80,1244,cuda,index,0.0013907628823009346,0.0,3.062474479379339,1.5,613,4,0.012273799849530765,0.8377067733024032,0.8686680581651722,0.000667663427929129,0.0002830863684526529,0.35906470783917466,0.021655530334213385,0.9554007949007004
EUR_AUD,killed_negative_ev,0,H4,-0.000021527247595150775,40,1601,cuda,forex,-0.000021527247595150775,0.5,0.9578894877276074,1.5,,,,,,,,,,
EUR_CAD,killed_negative_ev,0,H4,-0.00009855590432555442,40,1589,cuda,forex,-0.00009855590432555442,0.5,1.0203491634828765,1.5,,,,,,,,,,
EUR_CHF,killed_negative_ev,0,H4,-0.0001470560384300827,40,1551,cuda,forex,-0.0001470560384300827,0.5,0.9617491010321119,1.5,,,,,,,,,,
EUR_CZK,killed_negative_ev,0,H4,-0.0011388733535835753,40,1487,cuda,forex,-0.0011388733535835753,0.5,6.709345559251877,3.0,,,,,,,,,,
EUR_GBP,killed_negative_ev,0,H4,-0.00014431456660435777,40,1559,cuda,forex,-0.00014431456660435777,0.5,0.8214950035502021,1.5,,,,,,,,,,
EUR_HUF,killed_negative_ev,0,H4,-0.0008832951832231865,40,1596,cuda,forex,-0.0008832951832231865,0.5,5.593052521785947,3.0,,,,,,,,,,
EUR_JPY,ok,0,H4,0.000013498885252390298,80,1644,cuda,forex,0.000013498885252390298,0.5,0.8469814991000176,1.5,1446,4,1.3751068413926437,0.7693963178886665,0.48581025224334007,0.00009614487780312032,0.00002449629343316355,14.553179565665339,0.1734451662584154,0.7207805082202461
EUR_NOK,killed_negative_ev,0,H4,-0.0006796186259714804,40,1601,cuda,forex,-0.0006796186259714804,0.5,4.599265323348458,3.0,,,,,,,,,,
EUR_NZD,killed_negative_ev,0,H4,-0.00004427499857083201,40,1591,cuda,forex,-0.00004427499857083201,0.5,1.2002228985385486,1.5,,,,,,,,,,
EUR_PLN,killed_negative_ev,0,H4,-0.0009431626880381957,40,1488,cuda,forex,-0.0009431626880381957,0.5,5.505218488358151,3.0,,,,,,,,,,
EUR_USD,ok,0,H4,0.00001112560504301316,80,1574,cuda,forex,0.00001112560504301316,0.5,0.27465107869187805,1.5,1446,4,1.3751068413926437,0.7693963178886665,0.48581025224334007,0.00009614487780312032,0.00002449629343316355,14.553179565665339,0.1734451662584154,0.7207805082202461
FETUSD,ok,0,H4,0.011837276058166842,80,862,cuda,crypto,0.011837276058166842,6.5,2.9027576197400435,8.0,1365,3,0.026770681748450206,0.9306551801467713,0.8350542887266528,0.004001338483274113,0.01492667923877482,1.2546553702492758,0.09431034245776042,0.7305664813596631
FRA40.cash,ok,0,H4,0.0013859686343346846,80,1196,cuda,index,0.0013859686343346846,0.0,1.9992239037647894,1.5,1569,8,1.5245391049077508,0.5588292142127074,0.3629011883847164,0.0014341694759047743,0.00012010887458812913,0.40024672814170575,0.018900456817349233,0.5754052108469753
GALUSD,ok,0,H4,0.011952094071343514,80,833,cuda,crypto,0.011952094071343514,6.5,8.729812309035,8.0,240,6,0.017263791345679874,0.9144509550554089,0.538211699427328,0.0018659487795196295,0.48608224354384644,1.7318406319350288,0.04725529032286429,0.8111388577548594
GBPJPY,killed_negative_ev,0,H4,-0.0008453321215799722,40,1611,cuda,forex,-0.0008453321215799722,3.0,0.9527086034880081,5.0,,,,,,,,,,
GBP_AUD,killed_negative_ev,0,H4,-0.00005068112094628358,40,1564,cuda,forex,-0.00005068112094628358,0.5,1.1241474197159549,1.5,,,,,,,,,,
GBP_CAD,killed_negative_ev,0,H4,-0.00008494304522644968,40,1660,cuda,forex,-0.00008494304522644968,0.5,0.9585484193831207,1.5,,,,,,,,,,
GBP_CHF,killed_negative_ev,0,H4,-0.00007934142117503702,40,1553,cuda,forex,-0.00007934142117503702,0.5,1.2674615461222827,1.5,,,,,,,,,,
GBP_JPY,ok,0,H4,0.000045984457125543885,80,1611,cuda,forex,0.000045984457125543885,0.5,0.9527086034880081,1.5,1446,4,1.3751068413926437,0.7693963178886665,0.48581025224334007,0.00009614487780312032,0.00002449629343316355,14.553179565665339,0.1734451662584154,0.7207805082202461
GBP_NZD,killed_negative_ev,0,H4,-0.00004037738498966965,40,1572,cuda,forex,-0.00004037738498966965,0.5,1.023438977451746,1.5,,,,,,,,,,
GBP_USD,ok,0,H4,3.747006114420893e-6,80,1663,cuda,forex,3.747006114420893e-6,0.5,0.5334044539273007,1.5,1446,4,1.3751068413926437,0.7693963178886665,0.48581025224334007,0.00009614487780312032,0.00002449629343316355,14.553179565665339,0.1734451662584154,0.7207805082202461
GER40.cash,ok,0,H4,0.001002509562967438,80,1594,cuda,index,0.001002509562967438,0.0,0.6510143715328602,1.5,367,9,0.009393743708947746,0.852885772087796,0.7605174740659862,0.21548891051871064,4.898994815441395,0.301698379613685,0.007518541527968323,0.5887978581236905
GOOG,insufficient_rows,,,,,514,,equity,,,,,,,,,,,,,,
GRTUSD,ok,0,H4,0.010990942248426368,80,822,cuda,crypto,0.010990942248426368,6.5,4.847701381594136,8.0,1220,5,0.9111203470361358,0.7868104274964598,0.771024085529432,0.041083039663712455,0.21344696564297116,1.7346358364752328,0.013760518928655619,0.941371741302984
HEATOIL.c,killed_negative_ev,0,H4,-0.039880918497128284,40,870,cuda,commodity,-0.039880918497128284,0.13999999999999999,410.4403267583174,3.0,,,,,,,,,,
HK50.cash,ok,0,H4,0.0029525627760767733,80,1465,cuda,index,0.0029525627760767733,0.0,2.636512772439653,1.5,1711,5,0.09966509673268606,0.4967084342039303,0.4297987865699226,0.08096494061832228,0.0002773279998177076,0.3837871833530535,0.15933858925218536,0.6461112578457641
IBE,killed_negative_ev,0,H4,-0.0020102742624671715,40,808,cuda,equity,-0.0020102742624671715,0.4,29.090909090908468,2.5,,,,,,,,,,
ICPUSD,ok,0,H4,0.014979103193507261,80,871,cuda,crypto,0.014979103193507261,6.5,5.96006754743243,8.0,52,6,0.02213770002438636,0.9008559918527769,0.6392802153012886,0.003842297261810736,0.0025584790848772305,1.2718440036059158,0.0336261117454187,0.7032511809689257
