symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok
NVDA,ok,equity,us_equity,H1,1.27,6.91,5.4,0.33,2.6,1.85,30,0.7,11.0,5.6,58785.88,8073.82,8.07,7.99,7.28,2.29,0.5614,21.9,224,6.0,7,4.5279,0.5492,21.9,6.2,56.2,14.3,1.3,true
AMZN,ok,equity,us_equity,H4,0.51,6.26,12.3,0.54,1.0,0.56,17,1.06,10.3,4.9,104852.98,14555.47,14.56,9.94,7.2,2.47,0.5721,42.2,116,2.2,8,2.4075,0.7703,45.7,0.9,12.1,41.4,0.0,false
LVMH,ok,equity,eu_equity,H1,1.05,6.29,6.0,1.14,1.95,1.33,36,2.45,7.8,2.4,233033.11,44675.75,44.68,5.78,5.22,1.55,0.2648,35.5,310,6.1,11,1.9852,0.6815,49.0,3.9,15.5,31.3,0.3,false
RACE,ok,equity,eu_equity,H4,0.87,6.92,8.0,0.44,3.72,0.39,13,0.52,26.4,21.0,27870.53,5455.64,5.46,4.99,5.11,2.04,0.5854,22.3,94,4.1,8,5.3155,0.7753,31.9,3.2,45.7,11.7,7.4,true
V,ok,equity,us_equity,H4,0.71,7.86,11.1,0.71,3.92,0.34,34,1.78,10.9,5.5,89538.02,22903.37,22.9,3.49,3.91,1.92,0.4819,17.5,80,6.0,8,5.4791,0.5781,50.0,0.0,32.5,15.0,2.5,false
AAPL,ok,equity,us_equity,H4,1.58,4.94,3.1,0.45,3.99,1.59,28,2.54,9.6,4.2,59198.13,16868.52,16.87,3.73,3.51,1.99,0.7887,25.4,67,6.9,8,5.9692,0.9727,31.3,11.9,43.3,9.0,4.5,false
USD_JPY,ok,forex,forex,H4,0.54,4.93,9.1,0.33,1.33,0.39,21,1.49,4.0,0.5,122116.07,34891.63,34.89,2.19,3.5,1.24,0.0222,25.9,501,2.1,34,0.5456,0.1612,47.7,0.8,26.3,25.1,0.0,false
PFE,ok,equity,us_equity,H4,2.05,7.68,3.7,0.74,2.88,2.0,32,1.75,19.3,13.9,29737.2,11508.97,11.51,3.88,2.58,2.27,0.9218,40.8,49,9.4,8,4.0526,1.2373,20.4,2.0,38.8,32.7,6.1,false
US100.cash,ok,index,us_idx,H4,0.56,7.07,12.5,0.41,1.25,1.14,24,2.71,3.6,0.6,192186.82,75997.08,76.0,1.74,2.53,1.25,0.0713,22.7,453,2.9,34,1.1794,0.2548,50.1,0.4,27.2,21.9,0.4,false
TSLA,ok,equity,us_equity,H4,1.45,7.85,5.4,0.37,3.26,0.81,35,2.24,10.9,5.5,60416.27,24333.81,24.33,4.21,2.48,1.99,1.1481,21.4,84,5.2,8,11.5597,1.6914,27.4,2.4,51.2,19.0,0.0,false
EU50.cash,ok,index,eu_idx,H4,0.74,3.98,5.4,0.34,2.89,1.33,8,2.57,6.1,3.1,139490.48,59843.43,59.84,2.43,2.33,1.32,0.0631,22.4,340,3.0,26,1.2185,0.2696,38.5,3.5,38.8,3.8,15.3,false
DBKGn,ok,equity,eu_equity,H4,0.58,7.08,12.2,0.65,2.98,1.04,26,0.7,15.9,10.5,47940.86,21284.15,21.28,2.85,2.25,1.58,0.2236,15.9,176,3.9,14,4.9837,0.677,50.6,1.7,33.5,11.9,2.3,false
META,ok,equity,us_equity,H4,2.46,7.39,3.0,1.42,1.57,1.68,36,1.19,10.7,5.3,12314.96,5613.54,5.61,2.44,2.19,1.65,1.2236,58.7,46,11.3,8,4.4534,3.3662,28.3,6.5,2.2,60.9,2.2,true
NERUSD,ok,crypto,crypto,H4,2.88,9.22,3.2,2.0,2.59,1.19,44,3.0,53.9,31.4,39298.62,18995.83,19.0,1.77,2.07,1.46,1.4826,54.8,73,16.5,16,8.3399,6.8292,34.2,2.7,8.2,50.7,4.1,false
LNKUSD,ok,crypto,crypto,H4,1.23,8.27,6.7,1.54,3.65,0.85,17,1.16,24.4,1.9,24433.87,11947.13,11.95,1.73,2.05,1.33,0.593,32.8,122,8.0,16,6.6708,2.3718,44.3,0.0,20.5,11.5,23.8,false
AAVUSD,ok,crypto,crypto,H4,1.63,7.35,4.5,1.76,4.55,2.41,11,3.0,23.1,0.6,51852.61,27078.45,27.08,1.86,1.91,1.35,0.3782,41.1,124,7.5,16,5.1043,2.9236,34.7,0.8,9.7,0.0,54.8,false
MSFT,ok,equity,us_equity,H4,1.08,7.71,7.2,1.13,3.55,1.48,35,1.39,8.8,3.4,48801.52,25826.38,25.83,3.31,1.89,1.91,0.4885,24.3,70,7.1,8,4.7584,0.8811,45.7,1.4,30.0,22.9,0.0,false
FRA40.cash,ok,index,eu_idx,H4,0.65,7.6,11.8,0.9,3.0,0.34,36,1.84,5.0,2.0,78744.78,47076.8,47.08,1.38,1.67,1.21,0.0883,16.3,294,4.4,26,2.0649,0.2974,56.1,0.0,27.6,16.3,0.0,false
BAC,ok,equity,us_equity,H4,1.44,7.68,5.3,0.43,1.85,1.8,36,1.56,24.4,19.0,24453.19,16193.74,16.19,1.97,1.51,1.44,0.4463,26.0,73,6.1,8,5.0493,1.1733,31.5,6.8,39.7,20.5,1.4,false
USOIL.cash,ok,commodity,oil,H4,0.87,7.77,8.9,0.91,1.63,0.97,25,2.52,9.9,3.9,78193.58,53565.85,53.57,1.03,1.46,1.13,0.0861,31.6,386,4.1,34,1.9274,0.7648,49.0,0.0,19.2,31.1,0.8,false
GOOG,ok,equity,us_equity,H4,1.64,7.27,4.4,1.39,1.61,1.21,33,3.0,10.4,5.0,42355.81,30454.69,30.45,2.9,1.39,1.49,0.636,57.1,63,7.2,8,3.0712,2.6111,38.1,3.2,4.8,52.4,1.6,false
HK50.cash,ok,index,apac_idx,H4,1.53,6.2,4.1,1.46,3.87,1.41,23,2.33,5.6,2.6,52193.61,44464.63,44.46,0.98,1.17,1.17,0.0952,27.2,224,8.5,30,2.699,0.8793,50.0,4.0,21.9,13.8,10.3,false
XCU_USD,ok,commodity,metals,H4,0.58,3.53,6.1,1.23,3.58,0.51,33,2.66,12.5,8.3,85508.66,74288.92,74.29,1.31,1.15,1.26,0.1241,15.7,159,6.1,17,3.734,0.5494,59.1,12.6,25.2,0.0,3.1,false
XAG_AUD,ok,commodity,metals,H4,0.91,6.56,7.2,0.45,3.26,1.63,32,1.03,8.3,4.1,30505.81,31724.64,31.72,0.97,0.96,1.18,0.0519,15.0,339,5.1,34,3.375,0.5365,36.3,2.7,48.7,11.5,0.9,false
ETCUSD,ok,crypto,crypto,H4,1.65,6.99,4.2,0.44,2.8,1.88,19,2.09,26.5,4.0,16616.14,23884.54,23.88,0.99,0.7,1.18,0.1197,21.1,147,5.5,16,5.5892,1.3419,24.5,1.4,54.4,12.2,7.5,false
GER40.cash,ok,index,eu_idx,H4,0.92,7.58,8.3,1.24,4.0,1.75,35,2.96,3.7,0.7,95391.99,136279.15,136.28,0.87,0.7,1.17,0.0677,17.5,275,7.3,33,2.1587,0.3744,56.4,2.9,26.2,11.3,3.3,false
US30.cash,ok,index,us_idx,H4,0.87,7.82,9.0,1.23,3.82,1.82,24,2.8,3.5,0.5,60799.11,88461.18,88.46,0.56,0.69,1.1,0.0358,17.3,300,6.7,34,1.6737,0.3077,59.7,1.0,23.0,11.7,4.7,false
AVAUSD,ok,crypto,crypto,H4,1.62,9.66,5.9,1.54,3.6,0.81,12,0.65,32.4,9.9,6644.03,10054.4,10.05,1.08,0.66,1.17,0.2856,36.4,132,7.0,16,5.746,2.8346,40.2,0.0,18.9,9.1,31.8,false
GBP_JPY,ok,forex,forex,H4,0.53,7.09,13.5,0.6,3.57,0.92,20,2.78,4.5,1.0,99075.98,149058.66,149.06,0.73,0.66,1.11,0.0164,13.4,410,3.9,34,1.0807,0.1485,52.7,0.5,33.9,9.3,3.7,false
AUS200.cash,ok,index,apac_idx,H4,1.34,5.79,4.3,1.45,3.77,1.69,28,2.41,4.6,1.6,54705.75,94803.72,94.8,0.9,0.58,1.18,0.012,24.1,232,9.2,33,1.4414,0.4428,49.1,6.9,26.7,10.8,6.5,false
DASHUSD,ok,crypto,crypto,H4,1.66,8.14,4.9,1.66,1.66,1.33,45,2.92,31.6,9.1,48382.8,87581.81,87.58,0.51,0.55,1.1,0.1327,54.2,306,10.9,49,5.2145,5.8929,45.4,1.0,0.0,49.7,3.9,false
UNIUSD,ok,crypto,crypto,H4,2.03,9.19,4.5,1.11,1.95,0.86,36,2.91,25.5,3.0,17887.7,32591.83,32.59,0.82,0.55,1.14,0.3469,39.8,113,8.6,16,6.2531,3.5617,33.6,0.9,24.8,37.2,3.5,false
BAYGn,ok,equity,eu_equity,H4,1.37,7.16,5.2,1.39,3.19,1.77,25,2.75,20.3,14.9,35242.44,73835.09,73.84,1.13,0.48,1.21,0.4739,29.7,101,8.9,14,5.829,1.7888,48.5,4.0,21.8,16.8,8.9,false
NZD_USD,ok,forex,forex,H4,2.4,7.53,3.1,1.31,3.68,0.68,21,1.63,4.9,1.4,11056.35,23043.5,23.04,0.42,0.48,1.08,0.0358,33.5,200,11.8,34,1.0107,0.4553,29.0,0.0,31.5,17.5,22.0,false
BARUSD,ok,crypto,crypto,M30,2.89,9.31,3.2,1.38,3.29,1.25,32,0.89,27.4,4.9,11159.99,24482.46,24.48,0.54,0.46,1.05,0.0324,35.9,541,14.8,12,2.895,1.568,29.4,1.1,29.0,23.1,17.4,false
XAU_USD,ok,commodity,metals,H4,0.6,2.92,4.9,0.3,1.38,1.04,21,2.28,4.9,0.8,41689.49,97990.3,97.99,0.62,0.43,1.06,0.0218,24.8,483,2.4,34,0.9404,0.2819,47.6,7.5,27.5,17.4,0.0,false
EUR_USD,ok,forex,forex,H4,0.82,7.91,9.7,0.73,3.84,0.67,34,2.66,3.8,0.3,45867.49,117714.11,117.71,0.43,0.39,1.07,0.0086,15.1,338,5.9,34,0.9408,0.157,48.5,0.3,36.4,13.6,1.2,false
SPN35.cash,ok,index,eu_idx,H4,1.6,5.62,3.5,1.48,3.44,1.8,30,1.64,7.4,4.4,9182.65,23282.69,23.28,0.31,0.39,1.06,0.0135,24.2,153,8.8,21,2.2785,0.7089,53.6,6.5,22.2,14.4,3.3,false
JP225.cash,ok,index,apac_idx,H4,2.31,7.42,3.2,1.4,3.53,1.87,18,2.05,4.3,1.3,11744.5,34501.18,34.5,0.36,0.34,1.07,0.0489,34.1,211,10.5,34,1.997,0.9601,33.6,1.9,25.6,9.0,29.9,false
NZD_JPY,ok,forex,forex,H4,0.81,6.0,7.4,1.26,2.51,1.54,28,2.6,5.0,1.5,53477.94,166279.7,166.28,0.5,0.32,1.08,0.0096,21.6,338,5.7,34,1.0895,0.2879,60.1,3.0,18.0,16.3,2.7,false
XAG_EUR,ok,commodity,metals,H4,0.8,7.08,8.8,1.31,3.79,1.58,26,2.64,8.7,4.6,39056.79,126046.6,126.05,0.4,0.31,1.07,-0.0217,18.5,297,6.8,34,3.4932,0.8205,60.9,0.7,20.5,12.5,5.4,false
ALVG,ok,equity,eu_equity,H4,0.59,5.74,9.7,0.35,3.47,0.33,6,2.01,10.4,5.0,16010.09,70364.61,70.36,0.58,0.23,1.06,0.0009,18.9,206,2.4,14,1.7186,0.4002,48.1,0.5,33.0,2.4,16.0,false
CAD_JPY,ok,forex,forex,H4,0.98,7.2,7.3,0.48,1.37,1.62,28,2.38,4.9,1.4,12729.99,82056.7,82.06,0.19,0.16,1.03,0.0148,26.0,350,4.6,34,0.7358,0.2386,40.3,2.0,28.3,28.0,1.4,false
UK100.cash,ok,index,eu_idx,H4,1.14,7.45,6.6,0.37,3.49,0.67,28,2.04,4.3,1.3,1259.11,53241.89,53.24,0.03,0.02,1.0,-0.0173,13.1,327,5.2,33,1.3281,0.221,32.7,0.3,54.1,10.7,2.1,false
US2000.cash,ok,index,us_idx,H4,1.76,7.92,4.5,1.41,2.39,1.27,19,2.36,7.3,4.3,303.92,35817.48,35.82,0.01,0.01,1.0,-0.0021,37.4,246,8.6,34,1.5497,0.9291,39.0,0.8,20.3,28.5,11.4,false
EUR_JPY,ok,forex,forex,H4,1.75,6.32,3.6,1.49,3.58,0.7,22,1.32,4.3,0.8,-828.69,33238.94,33.24,-0.03,-0.02,1.0,-0.0008,29.9,241,9.6,34,0.9237,0.3946,41.5,1.2,27.0,20.3,10.0,false
ICPUSD,ok,crypto,crypto,H4,1.21,9.79,8.1,1.62,4.79,2.29,31,2.8,28.5,6.0,-1549.12,42874.92,42.87,-0.04,-0.04,0.99,-0.461,20.9,91,11.4,16,10.4231,3.3332,52.7,2.2,26.4,9.9,8.8,false
UKOIL.cash,ok,commodity,oil,H4,1.66,7.11,4.3,1.03,2.06,1.78,12,2.17,8.7,2.7,-1523.28,42831.82,42.83,-0.04,-0.04,0.99,0.0322,35.9,290,6.7,34,1.7314,0.9179,33.1,0.7,26.2,17.6,22.4,false
XAU_AUD,ok,commodity,metals,H4,1.69,7.44,4.4,1.43,3.69,0.83,36,2.87,5.1,1.0,-2989.15,83906.54,83.91,-0.04,-0.04,0.99,-0.0302,22.5,227,10.2,34,2.2376,0.6873,46.7,0.0,30.4,20.7,2.2,false
XAG_USD,ok,commodity,metals,H4,1.87,6.67,3.6,1.1,3.92,1.3,35,2.93,9.5,5.4,-3902.41,67224.44,67.22,-0.07,-0.06,0.99,-0.1501,21.7,212,10.8,34,3.6149,1.1934,35.4,2.8,42.9,12.7,6.1,false
COFFEE.c,ok,commodity,agri,H4,1.31,7.81,6.0,1.31,3.88,1.36,33,2.57,14.6,8.6,-12845.68,81880.59,81.88,-0.31,-0.16,0.95,0.0131,18.9,164,7.5,20,6.3077,1.4541,53.7,1.2,27.4,16.5,1.2,false
VECUSD,ok,crypto,crypto,H4,0.92,4.56,4.9,1.56,4.84,1.05,16,1.71,31.3,8.8,-8874.62,50365.9,50.37,-0.34,-0.18,0.95,-0.1078,22.9,140,6.9,16,6.3642,2.0255,57.9,5.7,19.3,0.0,17.1,false
AUD_JPY,ok,forex,forex,H4,0.56,7.79,13.9,1.21,3.94,0.68,20,1.23,4.7,1.2,-15114.69,73714.98,73.71,-0.24,-0.21,0.97,0.0018,13.7,395,4.5,34,1.4013,0.2198,68.1,0.3,18.2,9.1,4.3,false
ALGUSD,ok,crypto,crypto,H4,1.62,9.66,5.9,1.54,3.6,0.81,12,0.65,38.0,15.5,-2706.91,11585.71,11.59,-0.48,-0.23,0.93,-0.0237,39.8,128,7.4,16,4.981,3.3385,39.1,0.0,14.8,7.8,38.3,false
IMXUSD,ok,crypto,crypto,H4,1.43,8.43,5.9,1.75,4.18,1.83,31,2.94,29.4,6.9,-14488.1,62380.34,62.38,-0.45,-0.23,0.92,-0.1598,24.7,93,12.0,16,10.6403,3.7084,53.8,1.1,21.5,8.6,15.1,false
XAU_EUR,ok,commodity,metals,H4,1.0,5.45,5.4,0.63,3.32,1.7,35,3.0,5.7,1.6,-51237.03,189539.94,189.54,-0.57,-0.27,0.92,-0.0416,15.2,343,5.3,34,1.8631,0.3819,47.8,3.8,37.0,9.9,1.5,false
BNBUSD,ok,crypto,crypto,H4,2.93,9.66,3.3,1.08,3.63,2.3,44,2.2,22.8,0.3,-5290.92,17949.32,17.95,-0.37,-0.29,0.92,0.1402,24.7,81,13.3,16,5.9085,1.7511,25.9,2.5,49.4,14.8,7.4,false
AUD_USD,ok,forex,forex,H4,1.9,7.32,3.8,0.61,3.2,1.07,36,1.98,4.1,0.6,-19006.98,60351.53,60.35,-0.48,-0.31,0.91,-0.0197,14.9,309,6.3,34,1.2292,0.2381,27.8,0.6,57.0,13.9,0.6,false
GALUSD,ok,crypto,crypto,H4,1.21,9.79,8.1,1.62,4.79,2.29,31,2.8,31.2,8.7,-35605.66,84667.64,84.67,-1.22,-0.42,0.79,-0.1066,20.4,93,10.3,16,9.897,2.6751,59.1,0.0,19.4,5.4,16.1,false
GRTUSD,ok,crypto,crypto,H4,1.28,7.43,5.8,1.62,4.84,1.91,13,0.78,27.3,4.8,-7816.54,17257.43,17.26,-0.99,-0.45,0.86,-0.1085,32.1,134,7.2,16,4.8483,2.4508,44.0,0.0,18.7,0.0,37.3,false
FETUSD,ok,crypto,crypto,H4,2.08,6.44,3.1,1.41,2.51,1.66,12,1.51,25.4,2.9,-14344.8,30453.67,30.45,-1.22,-0.47,0.83,-0.1452,39.8,118,7.8,16,6.207,4.3503,35.6,2.5,13.6,9.3,39.0,false
XLMUSD,ok,crypto,crypto,H1,1.56,7.02,4.5,0.74,3.43,2.4,46,1.84,25.6,3.1,-44286.7,88333.89,88.33,-1.03,-0.5,0.9,-0.0546,18.2,440,9.3,18,4.1229,0.9829,33.0,4.8,48.6,10.9,2.7,false
USD_CHF,ok,forex,forex,H4,2.23,6.98,3.1,1.14,2.13,1.92,35,2.42,4.3,0.8,-33438.76,60935.55,60.94,-0.74,-0.55,0.86,-0.016,34.4,209,11.4,34,0.6907,0.3874,34.9,5.3,28.7,26.8,4.3,false
COCOA.c,ok,commodity,agri,H4,1.69,7.51,4.5,1.43,2.79,0.62,36,1.82,25.2,19.2,-18316.87,31796.33,31.8,-0.76,-0.58,0.9,-0.1132,29.1,165,7.6,20,6.4727,2.8151,48.5,0.0,22.4,28.5,0.6,false
US500.cash,ok,index,us_idx,H4,1.57,7.5,4.8,1.13,1.14,1.96,35,2.54,4.0,1.0,-63902.81,96290.36,96.29,-1.05,-0.66,0.83,-0.0593,30.5,249,8.2,34,1.122,0.5782,48.6,2.0,0.0,47.8,1.6,false
GBP_USD,ok,forex,forex,H4,0.78,3.75,4.8,0.74,2.37,1.63,12,1.79,4.0,0.5,-111857.82,161162.72,161.16,-2.12,-0.69,0.78,-0.0315,20.0,411,3.8,34,0.4992,0.1638,50.1,6.6,29.9,7.3,6.1,false
MANUSD,ok,crypto,crypto,H4,1.33,6.63,5.0,1.18,3.74,1.06,17,2.46,34.4,11.9,-50413.16,72561.59,72.56,-2.08,-0.69,0.72,-0.4435,21.5,135,7.3,16,6.1841,2.2567,41.5,0.7,35.6,5.9,16.3,false
AUD_CHF,ok,forex,forex,H4,0.7,3.17,4.5,1.2,3.82,0.83,21,2.93,5.1,1.6,-193077.97,257527.28,257.53,-1.59,-0.75,0.81,-0.0231,15.7,394,4.4,34,1.0137,0.2167,62.4,14.2,21.8,0.0,1.5,false
BABA,ok,equity,us_equity,H4,1.49,5.18,3.5,1.47,1.54,1.25,25,3.0,13.3,7.9,-36178.73,46843.62,46.84,-1.99,-0.77,0.79,-0.2874,37.8,74,6.1,8,4.6329,3.2824,60.8,6.8,1.4,29.7,1.4,false
SANUSD,ok,crypto,crypto,M30,2.02,9.52,4.7,1.92,4.0,0.5,45,0.9,33.6,11.1,-50203.4,64497.6,64.5,-1.87,-0.78,0.86,-0.1295,30.3,528,15.8,12,3.3979,1.6632,45.6,0.2,22.3,23.5,8.3,false
SOLUSD,ok,crypto,crypto,H4,2.1,6.74,3.2,1.57,3.26,2.28,21,2.55,24.2,1.7,-49968.59,56783.59,56.78,-2.62,-0.88,0.63,-0.7173,27.7,101,10.2,16,5.6527,3.1606,45.5,2.0,22.8,9.9,19.8,false
